class,f1,precision,recall,accuracy
toxic,0.6465269214960954,0.5546544428772919,0.7748768472906404,0.9193472756259964
severe_toxic,0.34838709677419355,0.4268774703557312,0.29427792915531337,0.9936853293319579
obscene,0.6706207987346777,0.6529774127310062,0.6892441072879978,0.9609396980211948
threat,0.40654205607476634,0.4009216589861751,0.41232227488151657,0.9960298852730626
insult,0.6180749860100727,0.5936576189196453,0.6445871024219434,0.9573290818718935
identity_hate,0.5145161290322581,0.6041666666666666,0.44803370786516855,0.9905905154896996
macro_avg,0.5341113313536773,0.5388758784227526,0.54389032815043,0.8772703116696364
micro_avg,0.6316055785712027,0.5831921976289202,0.688784659953097,0.8772703116696364
